ID,plate,treatment,salinity,line,symbiosis,well,temp,day,tent_count,day_cat
H2-SYM-25C_20S_pilot_W5,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W5,25C (ambient),9,0,9_day
H2-SYM-25C_20S_pilot_W5,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W5,25C (ambient),12,5,12_day
H2-SYM-25C_20S_pilot_W5,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W5,25C (ambient),14,12,14_day
H2-SYM-25C_20S_pilot_W5,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W5,25C (ambient),16,12,16_day
H2-SYM-25C_20S_pilot_W5,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W5,25C (ambient),19,12,19_day
H2-SYM-25C_20S_pilot_W5,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W5,25C (ambient),21,12,21_day
H2-SYM-25C_20S_pilot_W6,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W6,25C (ambient),0,0,0_day
H2-SYM-25C_20S_pilot_W6,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W6,25C (ambient),5,0,5_day
H2-SYM-25C_20S_pilot_W6,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W6,25C (ambient),7,0,7_day
H2-SYM-25C_20S_pilot_W6,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W6,25C (ambient),9,X,9_day
H2-SYM-25C_20S_pilot_W6,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W6,25C (ambient),12,X,12_day
H2-SYM-25C_20S_pilot_W6,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W6,25C (ambient),14,8,14_day
H2-SYM-25C_20S_pilot_W6,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W6,25C (ambient),16,10,16_day
H2-SYM-25C_20S_pilot_W6,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W6,25C (ambient),19,10,19_day
H2-SYM-25C_20S_pilot_W6,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W6,25C (ambient),21,12,21_day
H2-SYM-25C_30S_pilot_W1,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W1,25C (ambient),0,0,0_day
H2-SYM-25C_30S_pilot_W1,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W1,25C (ambient),5,0,5_day
H2-SYM-25C_30S_pilot_W1,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W1,25C (ambient),7,X,7_day
H2-SYM-25C_30S_pilot_W1,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W1,25C (ambient),9,X,9_day
H2-SYM-25C_30S_pilot_W1,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W1,25C (ambient),12,X,12_day
H2-SYM-25C_30S_pilot_W1,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W1,25C (ambient),14,X,14_day
H2-SYM-25C_30S_pilot_W1,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W1,25C (ambient),16,X,16_day
H2-SYM-25C_30S_pilot_W1,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W1,25C (ambient),19,X,19_day
H2-SYM-25C_30S_pilot_W1,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W1,25C (ambient),21,X,21_day
H2-SYM-25C_30S_pilot_W2,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W2,25C (ambient),0,0,0_day
H2-SYM-25C_30S_pilot_W2,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W2,25C (ambient),5,0,5_day
H2-SYM-25C_30S_pilot_W2,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W2,25C (ambient),7,1,7_day
H2-SYM-25C_30S_pilot_W2,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W2,25C (ambient),9,6,9_day
H2-SYM-25C_30S_pilot_W2,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W2,25C (ambient),12,7,12_day
H2-SYM-25C_30S_pilot_W2,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W2,25C (ambient),14,10,14_day
H2-SYM-25C_30S_pilot_W2,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W2,25C (ambient),16,10,16_day
H2-SYM-25C_30S_pilot_W2,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W2,25C (ambient),19,10,19_day
H2-SYM-25C_30S_pilot_W2,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W2,25C (ambient),21,10,21_day
H2-SYM-25C_30S_pilot_W3,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W3,25C (ambient),0,0,0_day
H2-SYM-25C_30S_pilot_W3,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W3,25C (ambient),5,0,5_day
H2-SYM-25C_30S_pilot_W3,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W3,25C (ambient),7,2,7_day
H2-SYM-25C_30S_pilot_W3,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W3,25C (ambient),9,5,9_day
H2-SYM-25C_30S_pilot_W3,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W3,25C (ambient),12,6,12_day
H2-SYM-25C_30S_pilot_W3,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W3,25C (ambient),14,8,14_day
H2-SYM-25C_30S_pilot_W3,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W3,25C (ambient),16,8,16_day
H2-SYM-25C_30S_pilot_W3,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W3,25C (ambient),19,8,19_day
H2-SYM-25C_30S_pilot_W3,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W3,25C (ambient),21,8,21_day
H2-SYM-25C_30S_pilot_W4,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W4,25C (ambient),0,0,0_day
H2-SYM-25C_30S_pilot_W4,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W4,25C (ambient),5,0,5_day
H2-SYM-25C_30S_pilot_W4,Plate 2,H2-SYM-25C_30S_pilot,30,H2,Sym,W4,25C (ambient),7,0,7_day
