ID,plate,treatment,line,symbiosis,well,temp,day,day_cat,tent_count
CC7-APO-1_A3,CC7-APO-1,CC7-APO-25C,CC7,Apo,A3,25C (ambient),20,day_20,x
CC7-APO-1_A3,CC7-APO-1,CC7-APO-25C,CC7,Apo,A3,25C (ambient),21,day_21,x
CC7-APO-3_C1,CC7-APO-3,CC7-APO-25C,CC7,Apo,C1,25C (ambient),0,day_0,0
CC7-APO-3_C1,CC7-APO-3,CC7-APO-25C,CC7,Apo,C1,25C (ambient),4,day_4,0
CC7-APO-3_C1,CC7-APO-3,CC7-APO-25C,CC7,Apo,C1,25C (ambient),5,day_5,1
CC7-APO-3_C1,CC7-APO-3,CC7-APO-25C,CC7,Apo,C1,25C (ambient),6,day_6,4
CC7-APO-3_C1,CC7-APO-3,CC7-APO-25C,CC7,Apo,C1,25C (ambient),7,day_7,4
CC7-APO-3_C1,CC7-APO-3,CC7-APO-25C,CC7,Apo,C1,25C (ambient),8,day_8,5
CC7-APO-3_C1,CC7-APO-3,CC7-APO-25C,CC7,Apo,C1,25C (ambient),9,day_9,6
CC7-APO-3_C1,CC7-APO-3,CC7-APO-25C,CC7,Apo,C1,25C (ambient),10,day_10,6
CC7-APO-3_C1,CC7-APO-3,CC7-APO-25C,CC7,Apo,C1,25C (ambient),11,day_11,6
CC7-APO-3_C1,CC7-APO-3,CC7-APO-25C,CC7,Apo,C1,25C (ambient),12,day_12,6
CC7-APO-3_C1,CC7-APO-3,CC7-APO-25C,CC7,Apo,C1,25C (ambient),13,day_13,6
CC7-APO-3_C1,CC7-APO-3,CC7-APO-25C,CC7,Apo,C1,25C (ambient),14,day_14,6
CC7-APO-3_C1,CC7-APO-3,CC7-APO-25C,CC7,Apo,C1,25C (ambient),17,day_17,6
CC7-APO-3_C1,CC7-APO-3,CC7-APO-25C,CC7,Apo,C1,25C (ambient),20,day_20,6
CC7-APO-3_C1,CC7-APO-3,CC7-APO-25C,CC7,Apo,C1,25C (ambient),21,day_21,6
CC7-APO-3_C4,CC7-APO-3,CC7-APO-25C,CC7,Apo,C4,25C (ambient),0,day_0,0
CC7-APO-3_C4,CC7-APO-3,CC7-APO-25C,CC7,Apo,C4,25C (ambient),4,day_4,0
